,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
1030,141-440,CLARO™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1031,141-441,IVERHART MAX® Chew,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1032,141-442,LUTALYSE® HighCon Injection,Zoetis Inc.,,,,,,,,,,,,,,,,,
1033,141-443,onsior® injection,Elanco US Inc.,,,,,,,,,,,,,,,,,
1034,141-444,Zycortal® Suspension,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
1035,141-445,Revalor®-XR,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1036,141-448,Thyro-Tabs® Canine,"Lloyd, Inc.",,,,,,,,,,,,,,,,,
1037,141-449,Safe-Guard® AquaSol,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1038,141-450,Banamine® Transdermal,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1039,141-452,SIMPARICA®,Zoetis Inc.,,,,,,,,,,,,,,,,,
1040,141-453,hLAL rDNA construct in SBC LAL-C chickens,"Alexion Pharmaceuticals, Inc.",,,,,,,,,,,,,,,,,
1041,141-454,AquAdvantage Salmon,"AquaBounty Technologies, Inc.",,,,,,,,,,,,,,,,,
1042,141-455,Galliprant™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1043,141-456,SILEO®,Orion Corp.,,,,,,,,,,,,,,,,,
1044,141-457,ENTYCE™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1045,141-458,Equioxx®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1046,141-459,BRAVECTO®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1047,141-460,Aivlosin® 17%,ECO LLC,,,,,,,,,,,,,,,,,
1048,141-461,Nocita™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1049,141-462,Stafac® and Monteban™,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1050,141-463,onsior™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1051,141-465,Inteprity™ and Coban™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1052,141-466,Inteprity™ and Maxiban™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1053,141-467,Inteprity™ and Monteban™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1054,141-468,Stafac® and Bio-Cox®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1055,141-469,Stafac® and AMPROL®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1056,141-470,Stafac® and Avatec®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1057,141-472,Clinacox® and Stafac®,Elanco US Inc.,,,,,,,,,,,,,,,,,
1058,141-473,Stenorol® and LINCOMIX®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1059,141-474,Itrafungol®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1060,141-477,,"Matheson Tri-Gas, Inc.",,,,,,,,,,,,,,,,,
1061,141-481,Mirataz®,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
1062,141-482,Robenz® and LINCOMIX®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1063,141-483,Deccox® and LINCOMIX®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1064,141-484,Bio-Cox® and LINCOMIX®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1065,141-485,COYDEN® and LINCOMIX®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1066,141-488,Avatec® and LINCOMIX®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1067,141-489,Zoamix® and LINCOMIX®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1068,141-491,Coban™ and LINCOMIX®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1069,141-492,Centragard®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1070,141-494,Credelio™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1071,141-495,Inteprity™ and Bio-Cox®,Elanco US Inc.,,,,,,,,,,,,,,,,,
1072,141-501,Semintra®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1073,141-502,revolution® PLUS,Zoetis Inc.,,,,,,,,,,,,,,,,,
1074,141-508,"Experior™ 10, Experior™ 50",Elanco US Inc.,,,,,,,,,,,,,,,,,
1075,141-509,Pexion™,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1076,141-511,Bc2371 rDNA construct in R69 New Zealand white rabbits,"LFB USA, Inc.",,,,,,,,,,,,,,,,,
1077,141-512,Experior™ and Rumensin™ and Tylan™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1078,141-513,Zimeta®,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
1079,141-514,Experior™ and Rumensin™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1080,141-517,PROIN ER™,"Pegasus Laboratories, Inc.",,,,,,,,,,,,,,,,,
1081,141-518,BRAVECTO® PLUS,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1082,141-519,ProHeart® 12,Zoetis Inc.,,,,,,,,,,,,,,,,,
1083,141-521,SimparicaTRIO®,Zoetis Inc.,,,,,,,,,,,,,,,,,
1084,141-524,Gaithersbug,AGL Welding Supply Co Inc.,,,,,,,,,,,,,,,,,
1085,141-526,LAVERDIA™-CA1,"Anivive Lifesciences, Inc.",,,,,,,,,,,,,,,,,
1086,141-528,Credelio™ CAT,Elanco US Inc.,,,,,,,,,,,,,,,,,
1087,141-529,Pennitracin MD® and Maxiban™,Pharmgate Inc.,,,,,,,,,,,,,,,,,
1088,141-530,MGA® and Aureomycin®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1089,141-531,MGA® and Bovatec® and Aureomycin®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1090,141-532,BRAVECTO® 1-MONTH,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1091,141-533,Aservo® EquiHaler®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1092,141-534,CLEVOR®,Orion Corp.,,,,,,,,,,,,,,,,,
1093,141-535,Aureo S 700® and Bovatec®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1094,141-536,Elura™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1095,141-538,Cardalis™,Ceva Sante Animale,,,,,,,,,,,,,,,,,
1096,141-539,ThyroKare™,Neogen Corp.,,,,,,,,,,,,,,,,,
1097,141-540,Pennitracin MD® and Coban™,Pharmgate Inc.,,,,,,,,,,,,,,,,,
1098,141-541,STELFONTA®,QBiotics Group Ltd.,,,,,,,,,,,,,,,,,
1099,141-542,pPL657 rDNA CONSTRUCT IN DOMESTIC PIGS,"Revivicor, Inc., a wholly owned subsidiary of United Therapeutics Corporation",,,,,,,,,,,,,,,,,
1100,141-543,Draxxin® KP,Zoetis Inc.,,,,,,,,,,,,,,,,,
1101,141-544,KBroVet®-CA1,"Pegasus Laboratories, Inc.",,,,,,,,,,,,,,,,,
1102,141-545,TANOVEA™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1103,141-546,Solensia™,Zoetis Inc.,,,,,,,,,,,,,,,,,
1104,141-547,Zorbium™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1105,141-550,Pradalex™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1106,141-551,Zenalpha®,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
1107,141-552,CANALEVIA®-CA1,Jaguar Animal Health,,,,,,,,,,,,,,,,,
1108,141-553,VALCOR™,Zoetis Inc.,,,,,,,,,,,,,,,,,
1109,141-554,NexGard® PLUS,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1110,141-555,apoquel® chewable,Zoetis Inc.,,,,,,,,,,,,,,,,,
1111,141-556,Vetmedin®-CA1,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1112,141-559,Zycosan®,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
1113,141-562,Librela™,Zoetis Inc.,,,,,,,,,,,,,,,,,
1114,141-564,Pennchlor® and Rumensin™,Pharmgate Inc.,,,,,,,,,,,,,,,,,
1115,141-565,Pennitracin MD® and Coban™,Pharmgate Inc.,,,,,,,,,,,,,,,,,
1116,141-566,Bexacat™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1117,141-567,PANOQUELL®-CA1,"Ishihara Sangyo Kaisha, Ltd.",,,,,,,,,,,,,,,,,
1118,141-568,Senvelgo®,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1119,141-570,NexGard® COMBO,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1120,141-571,Varenzin™-CA1,Elanco US Inc.,,,,,,,,,,,,,,,,,
1121,141-572,AYRADIA™,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1122,141-575,Vetmedin® Solution,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1123,141-577,UpCard®-CA1,"Vetoquinol USA, Inc.",,,,,,,,,,,,,,,,,
1124,141-578,FIDOQUEL™-CA1,Genus Lifesciences Inc.,,,,,,,,,,,,,,,,,
1125,141-579,DuOtic™,"Dechra, Ltd.",,,,,,,,,,,,,,,,,
1126,141-580,Bonqat®,Orion Corp.,,,,,,,,,,,,,,,,,
1127,141-581,Credelio Quattro™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1128,141-582,MULTIMIN® 90,Warburton Technology Ltd.,,,,,,,,,,,,,,,,,
1129,141-585,Zenrelia™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1130,141-589,MGA® and Experior™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1131,141-590,MGA® and Experior™ and Rumensin™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1132,141-591,MGA® and Experior™ and Rumensin™ and Tylan™,Elanco US Inc.,,,,,,,,,,,,,,,,,
1133,200-007,Liqui-Vict 2X™,"Happy Jack, Inc.",,,,,,,,,,,,,,,,,
1134,200-008,Bio-Mycin® 200 ,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1135,200-023,Gentamicin Sulfate Solution 100 mg/ml,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1136,200-026,Pennox 343®,Pharmgate Inc.,,,,,,,,,,,,,,,,,
1137,200-027,Nicarmix 25®,Planalquimica Industrial Ltda.,,,,,,,,,,,,,,,,,
1138,200-029,Ketamine Hydrochloride Injection,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1139,200-030,DI-METHOX®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1140,200-031,DI-METHOX®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1141,200-033,Uniprim™ Powder,Neogen Corp.,,,,,,,,,,,,,,,,,
1142,200-037,"Gentamicin Sulfate Solution, Legacy Sterile Solution",Huvepharma EOOD,,,,,,,,,,,,,,,,,
1143,200-038,Di-Methox Injection 40%,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1144,200-042,"Ketamine Hydrochloride Injection, USP",Elanco US Inc.,,,,,,,,,,,,,,,,,
1145,200-046,Neomycin Sulfate,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1146,200-049,Tetra-Bac® 324,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1147,200-050,NeoMed® Soluble Powder,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1148,200-055,VetaKet®,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1149,200-061,Flu-Nix™,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1150,200-066,AGRIMYCIN®-343,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1151,200-068,MAXIM 100,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1152,200-069,"Fertelin™, OvaCyst™",Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1153,200-070,IsoFlo™,Zoetis Inc.,,,,,,,,,,,,,,,,,
1154,200-071,Euthasol®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1155,200-073,"Ketamine Hydrochloride Injection, USP",Dechra Veterinary Products LLC,,,,,,,,,,,,,,,,,
1156,200-075,Sacox® 60,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1157,200-082,BMD® / Sacox®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1158,200-083,Flavomycin® / Sacox®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1159,200-088,Sedazine™,Boehringer lngelheim Animal Health USA Inc.,,,,,,,,,,,,,,,,,
1160,200-089,Baciferm® / Sacox®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1161,200-095,Aureomycin® / Sacox®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1162,200-096,Sacox® / Terramycin®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1163,200-102,Gentaglyde™ Solution,Zoetis Inc.,,,,,,,,,,,,,,,,,
1164,200-103,"PenAqua Sol-G®, Penicillin G Potassium, USP",Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1165,200-106,R-Pen,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1166,200-108,Dexamethasone Solution,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1167,200-109,Velenium™,Zoetis Inc.,,,,,,,,,,,,,,,,,
1168,200-113,Biosol® Liquid,Zoetis Inc.,,,,,,,,,,,,,,,,,
1169,200-115,Gentamex™ 100,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1170,200-117,Oxytetracycline Injection,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1171,200-118,Neomycin Oral Solution,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1172,200-122,Solu-Pen,Zoetis Inc.,,,,,,,,,,,,,,,,,
1173,200-123,MAXIM-200,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1174,200-124,Flunixin Meglumine Injection,Elanco US Inc.,,,,,,,,,,,,,,,,,
1175,200-126,Phenylbutazone 20% Injection,Elanco US Inc.,,,,,,,,,,,,,,,,,
1176,200-127,PROSPEC® Injectable,Zoetis Inc.,,,,,,,,,,,,,,,,,
1177,200-128,AGRIMYCIN® 200,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1178,200-129,Isospire™,Dechra Veterinary Products LLC,,,,,,,,,,,,,,,,,
1179,200-130,Neo-Sol® 50,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1180,200-134,FERTAGYL®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1181,200-136,"Tetracycline HCL Powder, Tetracycline Hydrochloride Soluble Powder-324","Quo Vademus, LLC",,,,,,,,,,,,,,,,,
1182,200-137,GentaMax® 100,Elanco US Inc.,,,,,,,,,,,,,,,,,
1183,200-139,Chanazine®,Chanelle Pharmaceuticals Manufacturing Ltd.,,,,,,,,,,,,,,,,,
1184,200-141,ATTANE™,Piramal Pharma Ltd.,,,,,,,,,,,,,,,,,
1185,200-142,Flunixin Meglumine Solution,Zoetis Inc.,,,,,,,,,,,,,,,,,
1186,200-144,"Tetroxy® HCA-280, Tetroxy® HCA-1772, Tetroxy® HCA-1400",Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1187,200-146,Tetroxy® 25,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1188,200-147,"Genta-Ject®, GentaPoult",Huvepharma EOOD,,,,,,,,,,,,,,,,,
1189,200-153,Neo 200 Oral Solution,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1190,200-154,Pennox® 200,Pharmgate Inc.,,,,,,,,,,,,,,,,,
1191,200-162,Tripelennamine Hydrochloride Injection,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1192,200-164,BMD® / Nicarmix 25®,Planalquimica Industrial Ltda.,,,,,,,,,,,,,,,,,
1193,200-165,Sulfadimethoxine Concentrated Solution 12.5%,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1194,200-168,PyrantelCare®,"Farnam Companies, Inc.",,,,,,,,,,,,,,,,,
1195,200-174,Gentamicin Sulfate Pig Pump Oral Solution,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1196,200-176,Prazitech™,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1197,200-177,Sulfadimethoxine Injection 40%,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1198,200-178,Amikacin Sulfate Injection,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1199,200-180,Ampicillin Trihydrate,HQ Specialty Pharma Corp.,,,,,,,,,,,,,,,,,
1200,200-181,AmiMax™ E Solution,Elanco US Inc.,,,,,,,,,,,,,,,,,
1201,200-183,VET BETA-GEN®,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1202,200-184,Chanazine®,Chanelle Pharmaceuticals Manufacturing Ltd.,,,,,,,,,,,,,,,,,
1203,200-185,GEN-GARD®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1204,200-188,Betagen™ Topical Spray,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1205,200-189,Lincomycin Soluble,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1206,200-192,Sulfadimethoxine 12.5% Oral Solution,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1207,200-193,Clindamycin Hydrochloride Oral Liquid,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1208,200-196,Miconosol,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1209,200-197,Streptomycin Oral Solution,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1210,200-202,Phoenectin®,Elanco US Inc.,,,,,,,,,,,,,,,,,
1211,200-204,Albac® / Bio-Cox®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1212,200-205,Albac® / Amprol Hi-E®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1213,200-210,Albac® / Sacox®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1214,200-212,Albac® / Robenz®,Zoetis Inc.,,,,,,,,,,,,,,,,,
1215,200-213,Albac® / Deccox®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1216,200-218,Albac® / Coyden 25®,Zoetis Inc.,,,,,,,,,,,,,,,,,
1217,200-219,"Ivermectin Pour-On for Cattle, Phoenectin®, Phoenectin™, Phoenectin™ Pour-On for Cattle",Huvepharma EOOD,,,,,,,,,,,,,,,,,
1218,200-221,"Component™ TE-G, Component™ TE-G with Tylan™, Component™ TE-IS, Component™ TE-IS with Tylan™, Component™ TE-S, Component™ TE-S with Tylan™",Elanco US Inc.,,,,,,,,,,,,,,,,,
1219,200-223,Albac® 50 Type A Medicated Article,Zoetis Inc.,,,,,,,,,,,,,,,,,
1220,200-224,"Component® T-H with Tylan®, Component® T-S with Tylan®",Elanco US Inc.,,,,,,,,,,,,,,,,,
1221,200-225,PROHIBIT®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1222,200-226,SYNCAINE,Syndel USA,,,,,,,,,,,,,,,,,
1223,200-228,Phoenectin®,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1224,200-229,Tri-Otic® Ointment,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1225,200-230,Guaifenesin Injection,Elanco US Inc.,,,,,,,,,,,,,,,,,
1226,200-233,Linco Soluble,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1227,200-234,Tetrasol Soluble Powder,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1228,200-235,Neosol Soluble Powder,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1229,200-236,Chlortetracycline HCL Soluble Powder,"Quo Vademus, LLC",,,,,,,,,,,,,,,,,
1230,200-237,"Isoflurane, USP",Piramal Pharma Ltd.,,,,,,,,,,,,,,,,,
1231,200-238,Sulfasol Soluble Powder,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1232,200-239,Dolorex®,"Intervet, Inc.",,,,,,,,,,,,,,,,,
1233,200-242,"BMD®-25, -30, -40, -50, -60, or -75 / Aureomycin® -50, -70, -80, -90 or -100",Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1234,200-244,Tucoprim® Powder,Zoetis Inc.,,,,,,,,,,,,,,,,,
1235,200-246,Anthelban V,Elanco US Inc.,,,,,,,,,,,,,,,,,
1236,200-247,Tetroxy® 343,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1237,200-248,"Pyrantel Pamoate Suspension, Pyrantel Pamoate Suspension-2.27mg, Pyrantel Pamoate Suspension-4.54mg",Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1238,200-251,Sulforal®,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1239,200-253,ProstaMate®,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1240,200-254,"Iron Dextran Injection, Iron Dextran Injection 100mg",Huvepharma EOOD,,,,,,,,,,,,,,,,,
1241,200-256,Iron Dextran Injection - 200,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1242,200-257,Ketamine HCL,"Mylan Institutional LLC, a Viatris Company",,,,,,,,,,,,,,,,,
1243,200-258,Sulfadimethoxine Soluble Powder,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1244,200-261,Bio-Cox® / ChlorMax™,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1245,200-262,ChlorMax® / Sacox®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1246,200-263,ChlorMax™ / Coban®,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1247,200-265,"Prazi-C Tablets (OTC), Praziquantel Tablets (Rx)",Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1248,200-266,Butequine™,"Vetoquinol USA, Inc.",,,,,,,,,,,,,,,,,
1249,200-270,Iverhart™ Tablets,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1250,200-271,Levamisole Phosphate,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1251,200-272,Noromectin® Pour-On for Cattle,"Norbrook Laboratories, Ltd.",,,,,,,,,,,,,,,,,
1252,200-273,Vetro-Gen™ Veterinary Ophthalmic Ointment,Dechra Veterinary Products LLC,,,,,,,,,,,,,,,,,
1253,200-274,Lincomycin Injectable 30%,Zoetis Inc.,,,,,,,,,,,,,,,,,
1254,200-280,Euthanasia-III Solution,"Med-Pharmex, Inc.",,,,,,,,,,,,,,,,,
1255,200-281,Pyrantel Pamoate Chewable Tablets,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1256,200-282,Continuex™,"Farnam Companies, Inc.",,,,,,,,,,,,,,,,,
1257,200-283,Vetro-Max®,"Fougera Pharmaceuticals, Inc.",,,,,,,,,,,,,,,,,
1258,200-286,Phoenectin® Paste 1.87%,Elanco US Inc.,,,,,,,,,,,,,,,,,
1259,200-287,GBC Ointment™,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1260,200-291,Clinsol®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1261,200-293,Furosemide Injection 5%,Elanco US Inc.,,,,,,,,,,,,,,,,,
1262,200-295,Pennchlor™ 64,Pharmgate Inc.,,,,,,,,,,,,,,,,,
1263,200-297,Ivermectin Chewable Tablets,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1264,200-298,Clindamycin Hydrochloride Capsules,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1265,200-301,Privasan™ Antiseptic Ointment,"First Priority, Inc.",,,,,,,,,,,,,,,,,
1266,200-302,Iverhart™ Plus Flavored Chewables,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1267,200-303,Lincomycin Hydrochloride Soluble Powder,"Quo Vademus, LLC",,,,,,,,,,,,,,,,,
1268,200-304,Pritox®,"First Priority, Inc.",,,,,,,,,,,,,,,,,
1269,200-306,Oxytetracycline Injection 200,"Norbrook Laboratories, Ltd.",,,,,,,,,,,,,,,,,
1270,200-308,Flunixin Injection,"Norbrook Laboratories, Ltd.",,,,,,,,,,,,,,,,,
1271,200-310,estroPLAN®,Parnell Technologies Pty. Ltd.,,,,,,,,,,,,,,,,,
1272,200-312,Dexium®,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1273,200-313,LevaMed™,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1274,200-314,Pennchlor S®,Pharmgate Inc.,,,,,,,,,,,,,,,,,
1275,200-315,"LINCOMYCIN 100, LINCOMYCIN 25, LINCOMYCIN 300","Sparhawk Laboratories, Inc.",,,,,,,,,,,,,,,,,
1276,200-316,Clintabs®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1277,200-317,Dexium-SP™,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1278,200-318,Bimectin® Pour-On,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1279,200-319,Acepromazine Maleate Injection,Elanco US Inc.,,,,,,,,,,,,,,,,,
1280,200-320,Equell®,"Virbac AH, Inc.",,,,,,,,,,,,,,,,,
1281,200-321,Primectin™ Equine Oral Liquid,"First Priority, Inc.",,,,,,,,,,,,,,,,,
1282,200-322,Torphadine®,Dechra Veterinary Products LLC,,,,,,,,,,,,,,,,,
1283,200-324,Dexamethasone Injection,"Sparhawk Laboratories, Inc.",,,,,,,,,,,,,,,,,
1284,200-326,Bimectin®,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1285,200-327,Privermectin™ Drench for Sheep,"First Priority, Inc.",,,,,,,,,,,,,,,,,
1286,200-328,Oxytocin Injection,Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1287,200-330,Animax® Cream,"Fougera Pharmaceuticals, Inc.",,,,,,,,,,,,,,,,,
1288,200-332,Butorphic™ Injection,Cronus Pharma Specialities India Private Limited,,,,,,,,,,,,,,,,,
1289,200-333,Superiorbute®,"Noble Pharma, LLC",,,,,,,,,,,,,,,,,
1290,200-334,Equizone 100™,"A & G Pharmaceuticals, Inc.",,,,,,,,,,,,,,,,,
1291,200-335,Ampicillin Sodium,HQ Specialty Pharma Corp.,,,,,,,,,,,,,,,,,
1292,200-338,Tri-Heart Plus Chewable Tablets,"Diamond Animal Health, Inc.",,,,,,,,,,,,,,,,,
1293,200-340,Privermectin®,"First Priority, Inc.",,,,,,,,,,,,,,,,,
1294,200-341,SparMectin-E,"Sparhawk Laboratories, Inc.",,,,,,,,,,,,,,,,,
1295,200-342,Pyrantel Pamoate Paste,"Farnam Companies, Inc.",,,,,,,,,,,,,,,,,
1296,200-343,Heifermax™ 500,Elanco US Inc.,,,,,,,,,,,,,,,,,
1297,200-344,"TiaGard™, Tiamulin Soluble Antibiotic",Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1298,200-345,Lincomycin - Spectinomycin,Phibro Animal Health Corp.,,,,,,,,,,,,,,,,,
1299,200-346,"Component™ TE-200 with Tylan™, Component™ TE-H with Tylan™, Component™ TE-IH with Tylan™",Elanco US Inc.,,,,,,,,,,,,,,,,,
1300,200-347,Penicillin G Potassium USP,"Quo Vademus, LLC",,,,,,,,,,,,,,,,,
1301,200-348,Ecomectin,Huvepharma EOOD,,,,,,,,,,,,,,,,,
1302,200-350,"Exodus™ Paste, Exodus® Multi Dose",Bimeda Animal Health Limited,,,,,,,,,,,,,,,,,
1303,200-351,"Lincomycin Injectable, USP",Huvepharma EOOD,,,,,,,,,,,,,,,,,
1304,200-352,"Primex® 2-X, Primex® Canine","First Priority, Inc.",,,,,,,,,,,,,,,,,
